,0,1,2,3
536,1900-01-01 13:59:05,47.67,green,1
537,1900-01-01 13:59:14,47.67,green,2
538,1900-01-01 13:59:36,47.67,green,1
539,1900-01-01 13:59:41,47.68,red,1
540,1900-01-01 13:59:43,47.67,green,1
541,1900-01-01 13:59:47,47.67,green,1
542,1900-01-01 13:59:50,47.67,red,1
543,1900-01-01 13:59:59,47.66,green,16
544,1900-01-01 14:00:00,47.67,red,1
545,1900-01-01 14:00:02,47.66,green,1
546,1900-01-01 14:00:08,47.67,red,2
547,1900-01-01 14:00:11,47.66,green,23
548,1900-01-01 14:00:12,47.66,green,8
549,1900-01-01 14:00:17,47.67,red,2
550,1900-01-01 14:00:17,47.66,green,5
551,1900-01-01 14:00:18,47.66,green,7
552,1900-01-01 14:00:23,47.67,red,2
553,1900-01-01 14:00:26,47.67,red,1
554,1900-01-01 14:00:31,47.66,green,9
555,1900-01-01 14:00:32,47.65,green,6
556,1900-01-01 14:00:34,47.66,red,1
557,1900-01-01 14:00:36,47.66,red,1
558,1900-01-01 14:00:38,47.65,green,1
559,1900-01-01 14:00:40,47.65,green,1
560,1900-01-01 14:00:40,47.65,green,1
561,1900-01-01 14:00:42,47.65,green,5
562,1900-01-01 14:00:42,47.65,green,1
563,1900-01-01 14:00:43,47.66,red,2
564,1900-01-01 14:00:45,47.66,red,1
565,1900-01-01 14:00:45,47.64,green,35
566,1900-01-01 14:00:46,47.65,red,8
567,1900-01-01 14:00:50,47.64,green,2
568,1900-01-01 14:00:52,47.64,green,1
569,1900-01-01 14:00:55,47.64,green,3
570,1900-01-01 14:00:57,47.64,green,1
571,1900-01-01 14:00:58,47.64,green,1
572,1900-01-01 14:00:59,47.64,green,1
573,1900-01-01 14:01:00,47.65,red,4
574,1900-01-01 14:01:03,47.64,green,1
575,1900-01-01 14:01:07,47.65,red,3
576,1900-01-01 14:01:09,47.65,red,1
577,1900-01-01 14:01:09,47.64,green,2
578,1900-01-01 14:01:10,47.64,green,1
579,1900-01-01 14:01:11,47.64,green,21
580,1900-01-01 14:01:12,47.65,red,1
581,1900-01-01 14:01:16,47.64,green,12
582,1900-01-01 14:01:17,47.64,green,2
583,1900-01-01 14:01:18,47.65,red,2
584,1900-01-01 14:01:20,47.65,red,26
585,1900-01-01 14:01:21,47.65,red,1
586,1900-01-01 14:01:25,47.64,green,2
587,1900-01-01 14:01:28,47.65,red,3
588,1900-01-01 14:01:28,47.65,red,13
589,1900-01-01 14:01:29,47.65,green,11
590,1900-01-01 14:01:32,47.66,red,7
591,1900-01-01 14:01:32,47.64,green,2
592,1900-01-01 14:01:33,47.64,green,1
593,1900-01-01 14:01:34,47.65,red,11
594,1900-01-01 14:01:36,47.65,red,1
595,1900-01-01 14:01:39,47.65,red,5
596,1900-01-01 14:01:40,47.65,red,11
597,1900-01-01 14:01:42,47.64,green,1
598,1900-01-01 14:01:44,47.65,red,1
599,1900-01-01 14:01:45,47.64,green,1
600,1900-01-01 14:01:46,47.65,red,6
601,1900-01-01 14:01:48,47.65,red,1
602,1900-01-01 14:01:51,47.64,green,5
603,1900-01-01 14:01:54,47.65,red,2
604,1900-01-01 14:01:56,47.64,green,1
605,1900-01-01 14:01:59,47.65,red,1
