,1m,3m,15m,time
634,,,,1900-01-01 13:07:34
635,,,,1900-01-01 13:07:35
636,,,,1900-01-01 13:07:36
637,,,,1900-01-01 13:07:37
638,,,,1900-01-01 13:07:38
639,,,,1900-01-01 13:07:39
640,,,,1900-01-01 13:07:40
641,,,,1900-01-01 13:07:41
642,,,,1900-01-01 13:07:42
643,,,,1900-01-01 13:07:43
644,,,,1900-01-01 13:07:44
645,,,,1900-01-01 13:07:45
646,,,,1900-01-01 13:07:46
647,,,,1900-01-01 13:07:47
648,,,,1900-01-01 13:07:48
649,,,,1900-01-01 13:07:49
650,,,,1900-01-01 13:07:50
651,,,,1900-01-01 13:07:51
652,,,,1900-01-01 13:07:52
653,,,,1900-01-01 13:07:53
654,,,,1900-01-01 13:07:54
655,,,,1900-01-01 13:07:55
656,,,,1900-01-01 13:07:56
657,,,,1900-01-01 13:07:57
658,,,,1900-01-01 13:07:58
659,,,,1900-01-01 13:07:59
660,,,,1900-01-01 13:08:00
661,,,,1900-01-01 13:08:01
662,,,,1900-01-01 13:08:02
663,,,,1900-01-01 13:08:03
664,,,,1900-01-01 13:08:04
665,,,,1900-01-01 13:08:05
666,,,,1900-01-01 13:08:06
667,,,,1900-01-01 13:08:07
668,,,,1900-01-01 13:08:08
669,,,,1900-01-01 13:08:09
670,,,,1900-01-01 13:08:10
671,,,,1900-01-01 13:08:11
672,,,,1900-01-01 13:08:12
673,,,,1900-01-01 13:08:13
674,,,,1900-01-01 13:08:14
675,,,,1900-01-01 13:08:15
676,,,,1900-01-01 13:08:16
677,,,,1900-01-01 13:08:17
678,,,,1900-01-01 13:08:18
679,,,,1900-01-01 13:08:19
680,,,,1900-01-01 13:08:20
681,,,,1900-01-01 13:08:21
682,,,,1900-01-01 13:08:22
683,,,,1900-01-01 13:08:23
684,,,,1900-01-01 13:08:24
685,,,,1900-01-01 13:08:25
686,,,,1900-01-01 13:08:26
687,,,,1900-01-01 13:08:27
688,,,,1900-01-01 13:08:28
689,,,,1900-01-01 13:08:29
690,,,,1900-01-01 13:08:30
691,,,,1900-01-01 13:08:31
692,,,,1900-01-01 13:08:32
693,,,,1900-01-01 13:08:33
694,,,,1900-01-01 13:08:34
695,,,,1900-01-01 13:08:35
696,,,,1900-01-01 13:08:36
697,,,,1900-01-01 13:08:37
698,,,,1900-01-01 13:08:38
699,,,,1900-01-01 13:08:39
700,,,,1900-01-01 13:08:40
701,,,,1900-01-01 13:08:41
702,,,,1900-01-01 13:08:42
703,,,,1900-01-01 13:08:43
704,,,,1900-01-01 13:08:44
705,,,,1900-01-01 13:08:45
706,,,,1900-01-01 13:08:46
707,,,,1900-01-01 13:08:47
708,,,,1900-01-01 13:08:48
709,,,,1900-01-01 13:08:49
710,,,,1900-01-01 13:08:50
711,,,,1900-01-01 13:08:51
